Sample no.,phi,k (md),Swir
1,0.062,0.093,0.221
2,0.083,68.154,0.025
3,0.066,0.161,0.234
4,0.11,230.121,0.026
5,0.037,0.682,0.105
6,0.077,0.16,0.175
7,0.088,0.004,0.37
8,0.141,1.247,0.214
10,0.299,3.212,0.2
11,0.25,1.501,0.313
13,0.042,1.359,0.061
14,0.071,4.212,0.13
15,0.163,0.548,0.334
16,0.142,0.158,0.189
17,0.116,0.504,0.238
18,0.104,0.01,0.394
19,0.093,0.064,0.301
21,0.117,183.061,0.026
22,0.155,797.538,0.015
23,0.246,2419.099,0.035
24,0.195,1180.743,0.028
26,0.103,19.684,0.132
28,0.154,40.599,0.082
29,0.105,0.007,0.424
30,0.133,0.014,0.439
31,0.238,0.119,0.41

